fire_id,cell_id,lat,lon,tree_cover,tree_cover_annual,burn_severity_dnbr,slope_deg,elevation_m,road_distance_km,ndvi_before,ndvi_after,ndvi_drop,severity_class,land_cover,prediction_status,recovery_gap_pred,priority_score,priority_class
EGE_2024_10,EGE_2024_10_000600,37.24555,27.74839,0.1123392,0.0,0.20186037,29.85566,37.33902,0.35388696,0.34441862,0.15394618,0.19047244,dusuk,Tarim,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_000640,37.2433,27.74837,0.004230194,0.0,0.10748313,30.154772,34.024494,0.39674458,0.34987652,0.20827973,0.1415968,dusuk,Tarim,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_000681,37.24103,27.75117,0.0,0.0,0.12434638,1.3464465,35.239265,0.2187246,0.2955323,0.14925848,0.1462738,dusuk,Tarim,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_000818,37.23395,27.79901,1.0,0.9265197,0.23317844,8.850369,150.19121,0.7126262,0.33801514,0.18089804,0.1571171,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_000819,37.23393,27.80183,0.7650651,1.0,0.31299198,11.395477,194.65224,0.82467586,0.37642434,0.14630046,0.23012388,orta-dusuk,Agaclik,predicted,0.2797,0.4938,ORTA
EGE_2024_10,EGE_2024_10_000858,37.2317,27.79899,0.93282884,0.89405763,0.3083223,15.922572,167.1981,0.4809863,0.35396367,0.14121881,0.21274486,orta-dusuk,Agaclik,predicted,0.266,0.6239,YUKSEK
EGE_2024_10,EGE_2024_10_000859,37.23168,27.8018,0.99884504,1.0,0.4291511,10.018607,199.07559,0.63529676,0.40202266,0.097907454,0.3041152,orta-dusuk,Agaclik,predicted,0.3173,0.5935,YUKSEK
EGE_2024_10,EGE_2024_10_000898,37.22945,27.79896,0.88921505,1.0,0.4362927,16.090298,199.43721,0.28259432,0.39120072,0.10900861,0.2821921,orta-dusuk,Agaclik,predicted,0.2679,0.6684,YUKSEK
EGE_2024_10,EGE_2024_10_000899,37.22943,27.80178,0.76039684,1.0,0.40740752,7.7147083,218.77899,0.5021092,0.36113888,0.087992296,0.27314657,orta-dusuk,Agaclik,predicted,0.2723,0.4488,ORTA
EGE_2024_10,EGE_2024_10_000938,37.22719,27.79894,1.0,1.0,0.38531685,11.313549,179.5911,0.23102222,0.39034438,0.124111496,0.26623288,orta-dusuk,Agaclik,predicted,0.3783,0.8534,COK_YUKSEK
EGE_2024_10,EGE_2024_10_000939,37.22717,27.80176,0.89495647,0.9427131,0.33997506,10.895781,191.6726,0.47500044,0.33859348,0.09098335,0.24761012,orta-dusuk,Agaclik,predicted,0.2488,0.4657,ORTA
EGE_2024_10,EGE_2024_10_000940,37.22715,27.80457,0.66053265,0.6912928,0.20671043,8.055567,177.3557,0.7231041,0.2829196,0.1368617,0.14605789,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_000941,37.22714,27.80739,1.0,0.9795777,0.10054827,12.43861,186.52055,0.9721799,0.36317927,0.2582289,0.10495037,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_000978,37.22494,27.79892,0.8932778,0.9121433,0.35746157,6.892819,173.06883,0.3897217,0.36099988,0.09568307,0.2653168,orta-dusuk,Agaclik,predicted,0.2185,0.3115,ORTA
EGE_2024_10,EGE_2024_10_000979,37.22492,27.80173,0.86219895,0.9658425,0.33554152,4.598961,168.65375,0.56933045,0.36551136,0.11047053,0.25504082,orta-dusuk,Agaclik,predicted,0.2199,0.2303,DUSUK
EGE_2024_10,EGE_2024_10_000980,37.2249,27.80455,0.752316,1.0,0.4136352,8.134036,155.71367,0.78828377,0.39927155,0.11260879,0.28666276,orta-dusuk,Agaclik,predicted,0.2697,0.4001,ORTA
EGE_2024_10,EGE_2024_10_000981,37.22488,27.80737,0.8759125,1.0,0.28908843,6.67263,140.05844,1.0215896,0.3525951,0.16028623,0.19230886,orta-dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001017,37.2227,27.79607,0.42540783,0.35497642,0.1005471,12.446788,123.288994,0.57283556,0.25528085,0.17724396,0.07803689,dusuk,Tarim,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001018,37.22269,27.79889,1.0,1.0,0.39264858,11.210339,176.49922,0.6126946,0.37317598,0.07995073,0.29322526,orta-dusuk,Agaclik,predicted,0.3266,0.6488,YUKSEK
EGE_2024_10,EGE_2024_10_001019,37.22267,27.80171,0.87766325,1.0,0.27199167,11.794795,152.12346,0.74003303,0.38608533,0.16078156,0.22530377,orta-dusuk,Agaclik,predicted,0.3273,0.641,YUKSEK
EGE_2024_10,EGE_2024_10_001020,37.22265,27.80453,0.7657062,1.0,0.3157794,9.140864,140.90883,0.91918606,0.41618943,0.17963526,0.23655418,orta-dusuk,Agaclik,predicted,0.2719,0.4051,ORTA
EGE_2024_10,EGE_2024_10_001021,37.22263,27.80734,0.6926367,0.83310723,0.35928598,5.863012,150.93584,1.1256808,0.3837532,0.13769016,0.24606305,orta-dusuk,Agaclik,predicted,0.2214,0.1627,DUSUK
EGE_2024_10,EGE_2024_10_001057,37.22045,27.79605,0.28501037,0.2748357,0.106013924,7.1082954,105.78047,0.8225888,0.252813,0.18597868,0.06683433,dusuk,Tarim,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001058,37.22043,27.79887,0.87876457,0.97962636,0.28932953,11.72739,128.81715,0.8508269,0.35736093,0.13791013,0.2194508,orta-dusuk,Agaclik,predicted,0.3047,0.5612,YUKSEK
EGE_2024_10,EGE_2024_10_001059,37.22041,27.80169,0.9173551,1.0,0.22060966,10.08075,148.67256,0.9466576,0.37415648,0.18145004,0.19270644,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001060,37.22039,27.8045,1.0,1.0,0.38735396,8.579541,176.46338,1.0924352,0.4054248,0.12125784,0.28416696,orta-dusuk,Agaclik,predicted,0.3059,0.4488,ORTA
EGE_2024_10,EGE_2024_10_001061,37.22038,27.80732,0.6873745,0.45489228,0.27133915,6.263661,174.54074,1.2710897,0.36510673,0.16497058,0.20013615,orta-dusuk,Agaclik,predicted,0.1845,0.0505,DUSUK
EGE_2024_10,EGE_2024_10_001098,37.21818,27.79884,0.7818798,0.743205,0.18181074,8.638719,113.982056,1.094266,0.33574057,0.20394906,0.1317915,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001099,37.21816,27.80166,0.85657275,1.0,0.22526416,7.43879,138.33504,1.17033,0.36045632,0.17794111,0.1825152,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001100,37.21814,27.80448,0.97088337,0.9764182,0.30717677,9.822737,158.87866,1.291095,0.34419215,0.122395426,0.22179672,orta-dusuk,Agaclik,predicted,0.251,0.2997,ORTA
EGE_2024_10,EGE_2024_10_001101,37.21812,27.8073,0.41023278,0.31419042,0.22790359,7.6308618,157.22667,1.4453998,0.31369966,0.14253344,0.17116623,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001102,37.2181,27.81011,0.45665538,0.072088495,0.11032475,5.549977,142.47806,1.248849,0.27933705,0.17236131,0.106975734,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001137,37.21594,27.796,0.86094457,0.760556,0.13513532,12.204946,111.152565,1.2807428,0.33510995,0.2258902,0.109219745,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001138,37.21593,27.79882,0.88250524,1.0,0.29378307,17.732203,153.27277,1.340123,0.40385628,0.19111317,0.2127431,orta-dusuk,Agaclik,predicted,0.3429,0.7087,YUKSEK
EGE_2024_10,EGE_2024_10_001141,37.21587,27.80727,0.5578613,0.6036875,0.20037004,5.2026567,131.58632,1.5848658,0.3332668,0.18469262,0.14857417,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001142,37.21585,27.81009,0.2951178,0.066277064,0.13099554,3.3723803,124.56114,1.3362767,0.25775057,0.15284523,0.10490534,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001177,37.21369,27.79598,0.8852313,1.0,0.19819519,15.232808,152.5121,1.0480269,0.4094249,0.24210678,0.16731812,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001178,37.21367,27.7988,0.36044553,0.39138582,0.2041737,12.190779,209.62073,1.1714714,0.29117757,0.15358284,0.13759473,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001181,37.21362,27.80725,0.7755458,0.9185831,0.24627261,14.463358,152.69318,1.6032774,0.40945536,0.21947613,0.18997923,dusuk,Agaclik,low_severity,,0.0,DUSUK
EGE_2024_10,EGE_2024_10_001182,37.2136,27.81007,0.71955395,0.8177814,0.24182874,9.528599,139.41791,1.356433,0.35959125,0.16315201,0.19643924,dusuk,Agaclik,low_severity,,0.0,DUSUK
