fire_id,cell_id,lat,lon,tree_cover,tree_cover_annual,burn_severity_dnbr,slope_deg,elevation_m,road_distance_km,ndvi_before,ndvi_after,ndvi_drop,severity_class,land_cover,prediction_status,recovery_gap_pred,priority_score,priority_class
GDA_2021_01,GDA_2021_01_000000,37.23654,44.25169,0.0,0.0,0.12903924,74.77913,1948.6324,4.338007,0.48810828,0.2909812,0.19712707,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000039,37.23718,44.36161,0.0,0.0,0.1147708,55.510933,1790.3738,1.9952261,0.38714665,0.28593534,0.10121131,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000040,37.2372,44.36443,0.0,0.0,0.14232536,57.02649,1795.4404,2.0295682,0.3577572,0.23827688,0.11948033,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000041,37.23721,44.36724,0.0,0.0,0.118297085,64.21857,1941.8204,2.09341,0.29689172,0.16758579,0.12930593,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000046,37.23729,44.38134,0.0,0.0,0.10329745,65.33492,2244.73,2.7519922,0.28940862,0.1594909,0.12991773,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000047,37.2373,44.38415,0.0,0.0,0.102951795,66.441505,2261.7185,2.748091,0.37426913,0.2005121,0.17375703,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000049,37.23428,44.25172,0.24602799,0.0,0.105219856,75.962364,1979.8813,4.3250113,0.28679478,0.24568668,0.0411081,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000088,37.23493,44.36163,0.0,0.0,0.11023927,22.908606,1818.8123,2.2445853,0.2553281,0.15466216,0.10066593,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000089,37.23494,44.36445,0.0,0.0,0.16035537,29.576225,1851.215,2.2751663,0.3228739,0.1540439,0.16882999,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000138,37.23269,44.36446,0.0,0.0,0.16569793,31.158237,1934.8593,2.5216298,0.35098734,0.17245227,0.17853507,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000139,37.2327,44.36728,0.0,0.0,0.100948304,39.13625,2082.0273,2.573293,0.29472387,0.1660289,0.12869497,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000141,37.23273,44.37292,0.0,0.0,0.12257011,34.463673,2198.1528,2.742859,0.4154968,0.20955323,0.20594357,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000145,37.23279,44.38419,0.0,0.0,0.12148103,16.102823,2172.925,2.375294,0.3505343,0.19557731,0.15495698,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000190,37.23048,44.37294,0.0,0.0,0.10517998,22.111486,2299.3687,2.9716175,0.24104747,0.14615002,0.09489745,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000213,37.22782,44.29969,0.25318852,0.0,0.10001263,29.06509,1878.1737,0.42672288,0.41437423,0.30173934,0.1126349,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000226,37.22803,44.33632,0.7798738,0.0,0.1678519,29.767906,1180.5482,0.432925,0.41859427,0.45908713,-0.040492862,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000237,37.2282,44.36732,0.0,0.0,0.10013136,23.809256,2285.9854,2.8698487,0.27836993,0.16470453,0.1136654,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000275,37.22577,44.33634,0.6388948,0.030667966,0.13858527,24.797625,1203.0396,0.679579,0.35316044,0.27458122,0.07857922,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000353,37.22094,44.28003,0.84063154,0.0,0.19993737,34.194733,1410.5411,2.2991242,0.37014058,0.47127938,-0.1011388,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000441,37.21626,44.25189,0.0,0.0,0.17138684,43.686535,1618.5583,4.7228236,0.31014243,0.21996935,0.09017308,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000490,37.214,44.25192,0.0,0.0,0.11526222,21.643906,1492.3741,4.828818,0.3688789,0.29629242,0.07258648,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000514,37.21441,44.31954,0.5278386,0.0,0.16580436,36.61159,1428.9017,0.9064844,0.3388335,0.21765402,0.12117949,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000588,37.2095,44.25196,0.24513884,0.0,0.10344593,61.353153,1283.7527,5.071224,0.35997117,0.3390616,0.020909578,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
GDA_2021_01,GDA_2021_01_000604,37.20977,44.29704,0.0,0.0,0.12951505,28.689367,1895.5165,2.3483424,0.33199447,0.2291576,0.10283688,dusuk,Otlak/calilik,low_severity,,0.0,DUSUK
